Borehole_Number,Longitude_deg,Latitude_deg,Depth_m,Sand_Bottom_m,Drilled_Depth_m,Predicted_Susceptibility_SI,Observed_Susceptibility_SI_if_available,Nearest_Active_Cell_ID,Distance_to_Nearest_Cell_Centre_m,Cell_X_m,Cell_Y_m,Cell_Z_m,Susceptibility_Source
RBGUT-04,72.412617,25.591939,98,0,125,0.0651864,0.052752,1966867,6.663647446,-775,-325,-98.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,99,0,125,0.0651864,0.0776208,1966867,6.663647446,-775,-325,-98.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,100,0,125,0.064684,0.064684,1957074,6.663647446,-775,-325,-100.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,101,0,125,0.0607904,0.072848,1952176,6.663647446,-775,-325,-101.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,102,0,125,0.0607904,0.0487328,1952176,6.663647446,-775,-325,-101.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,103,0,125,0.0933836,0.070336,1942379,6.663647446,-775,-325,-103.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,104,0,125,0.0933836,0.1164312,1942379,6.663647446,-775,-325,-103.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,105,0,125,0.1039968,0.13188,1932579,6.663647446,-775,-325,-105.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,106,0,125,0.1039968,0.0761136,1932579,6.663647446,-775,-325,-105.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,107,0,125,0.0492352,0.0492352,1922779,6.663647446,-775,-325,-107.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,108,0,125,0.0773068,0.0589064,1917879,6.663647446,-775,-325,-108.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,109,0,125,0.0773068,0.0957072,1917879,6.663647446,-775,-325,-108.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,110,0,125,0.0909344,0.0909344,1912979,6.663647446,-775,-325,-109.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,111,0,125,0.0337864,0.0337864,1903179,6.663647446,-775,-325,-111.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,112,0,125,0.1025524,0.108644,1898279,6.663647446,-775,-325,-112.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,113,0,125,0.1025524,0.0964608,1898279,6.663647446,-775,-325,-112.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,114,0,125,0.0419504,0.0419504,1893379,6.663647446,-775,-325,-113.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,115,0,125,0.0424528,0.0424528,1888479,6.663647446,-775,-325,-114.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,116,0,125,0.0409456,0.0409456,1878679,6.663647446,-775,-325,-116.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,117,0,125,0.064056,0.0628,1873779,6.663647446,-775,-325,-117.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,118,0,125,0.064056,0.065312,1873779,6.663647446,-775,-325,-117.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,119,0,125,0.074104,0.0808864,1863979,6.663647446,-775,-325,-119.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,120,0,125,0.074104,0.0673216,1863979,6.663647446,-775,-325,-119.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,121,0,125,0.0628,0.0628,1854179,6.663647446,-775,-325,-121.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,122,0,125,0.128112,0.128112,1849279,6.663647446,-775,-325,-122.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,123,0,125,0.0423272,0.0423272,1844379,6.663647446,-775,-325,-123.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,124,0,125,0.00356076,0.00369264,1839479,6.663647446,-775,-325,-124.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,125,0,125,0.00356076,0.00342888,1839479,6.663647446,-775,-325,-124.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,11.5,11.5,125,0.02350403,,2250282,27.25930929,375,25,-25.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,12.5,11.5,125,0.02350403,,2250282,26.75948324,375,25,-25.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,13.5,11.5,125,0.02350403,,2250282,26.28820921,375,25,-25.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,14.5,11.5,125,0.02350403,,2250282,25.84704902,375,25,-25.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,15.5,11.5,125,0.02350403,0.017584,2250282,25.43756952,375,25,-25.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,16.5,11.5,125,0.02350403,0.017584,2250282,25.06132365,375,25,-25.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,17.5,11.5,125,0.02350403,0.02512,2250282,24.71982895,375,25,-25.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,18.5,11.5,125,0.02350403,0.0155744,2250282,24.41454368,375,25,-25.5,Predicted_from_recovered_3D_model
RBGUT-14,72.423984,25.595341,19.5,11.5,125,0.02350403,0.0189656,2250282,24.14684127,375,25,-25.5,Predicted_from_recovered_3D_model
